Position,AMX@F3,SSE@F3,AVX2@F3,AVX3@F3
0,0.69,0.69,0.69,0.69
1,0.69,0.682,0.682,0.69
2,0.692,0.692,0.692,0.692
3,0.682,0.682,0.682,0.682
4,0.688,0.688,0.688,0.688
5,0.704,0.704,0.704,0.704
6,0.876,0.766,0.872,0.876
7,0.708,0.704,0.704,0.708
8,0.71,0.71,0.71,0.71
9,0.702,0.702,0.702,0.702
10,0.706,0.706,0.706,0.706
11,-9.999,-9.999,-9.999,-9.999
12,0.706,0.706,0.706,0.706
13,0.782,0.782,0.782,0.782
14,0.78,0.78,0.78,0.78
15,0.724,0.724,0.724,0.724
16,0.702,0.702,0.702,0.702
17,0.694,0.694,0.694,0.694
18,0.74,0.73,0.74,0.74
19,0.692,0.692,0.692,0.692
20,0.774,0.774,0.774,0.774
21,0.692,0.692,0.692,0.692
22,0.7,0.692,0.692,0.7
23,0.682,0.682,0.682,0.682
24,0.672,0.672,0.672,0.672
25,0.688,0.688,0.688,0.688
26,0.686,0.686,0.686,0.686
27,-9.999,-9.999,-9.999,-9.999
28,0.69,0.69,0.69,0.69
29,0.688,0.688,0.688,0.688
30,0.674,0.674,0.674,0.674
31,-9.999,-9.999,-9.999,-9.999
32,0.698,0.698,0.698,0.698
33,0.676,0.676,0.676,0.676
34,0.676,0.676,0.676,0.676
35,-9.999,-9.999,-9.999,-9.999
36,0.686,0.686,0.686,0.686
37,0.752,0.752,0.752,0.752
38,0.698,0.698,0.698,0.698
39,0.694,0.694,0.694,0.694
40,0.732,0.732,0.732,0.732
41,0.724,0.724,0.724,0.724
42,0.73,0.73,0.73,0.73
43,0.734,0.734,0.734,0.734
44,0.73,0.73,0.73,0.73
45,0.722,0.722,0.722,0.722
46,0.734,0.734,0.734,0.734
47,0.744,0.744,0.744,0.744
48,0.694,0.694,0.694,0.694
49,-9.999,-9.999,-9.999,-9.999
50,0.7,0.7,0.7,0.7
51,-9.999,-9.999,-9.999,-9.999
52,0.748,0.748,0.748,0.748
53,0.758,0.758,0.758,0.758
54,-9.999,-9.999,-9.999,-9.999
55,0.702,0.7,0.7,0.702
56,0.676,0.676,0.676,0.676
57,0.754,0.754,0.754,0.754
58,0.734,0.734,0.734,0.734
59,-9.999,-9.999,-9.999,-9.999
60,-9.999,-9.999,-9.999,-9.999
61,0.706,0.706,0.706,0.706
62,0.734,0.734,0.734,0.734
63,0.688,0.688,0.688,0.688
64,-9.999,-9.999,-9.999,-9.999
65,0.702,0.694,0.694,0.702
66,-9.999,-9.999,-9.999,-9.999
67,0.694,0.694,0.694,0.694
68,0.712,0.712,0.712,0.712
69,0.724,0.724,0.724,0.724
70,0.7,0.7,0.7,0.7
71,0.73,0.73,0.73,0.73
72,0.69,0.69,0.69,0.69
73,0.726,0.726,0.726,0.726
74,0.716,0.716,0.716,0.716
75,0.71,0.71,0.71,0.71
76,0.714,0.714,0.714,0.714
77,0.68,0.68,0.68,0.68
78,0.692,0.692,0.692,0.692
79,0.684,0.684,0.684,0.684
80,0.712,0.712,0.712,0.712
81,0.704,0.704,0.704,0.704
82,0.726,0.726,0.726,0.726
83,0.732,0.732,0.732,0.732
84,0.728,0.728,0.728,0.728
85,0.826,0.826,0.826,0.826
86,0.718,0.718,0.718,0.718
87,0.704,0.704,0.704,0.704
88,0.674,0.674,0.674,0.674
89,0.7,0.7,0.7,0.7
90,0.684,0.684,0.684,0.684
91,0.752,0.752,0.752,0.752
92,0.692,0.684,0.684,0.692
93,0.674,0.674,0.674,0.674
94,0.724,0.724,0.724,0.724
95,0.696,0.694,0.696,0.696
96,0.72,0.72,0.72,0.72
97,0.728,0.72,0.72,0.728
98,0.724,0.724,0.724,0.724
99,0.726,0.726,0.726,0.726
100,0.822,0.83,0.822,0.822
101,0.724,0.724,0.724,0.724
102,0.72,0.72,0.72,0.72
103,0.732,0.732,0.732,0.732
104,0.72,0.72,0.72,0.72
105,0.706,0.706,0.706,0.706
106,0.716,0.716,0.716,0.716
107,0.762,0.762,0.762,0.762
108,0.716,0.716,0.716,0.716
109,-9.999,-9.999,-9.999,-9.999
110,0.702,0.702,0.702,0.702
111,0.728,0.72,0.72,0.728
112,0.722,0.722,0.722,0.722
113,-9.999,-9.999,-9.999,-9.999
114,0.692,0.692,0.692,0.692
115,0.736,0.736,0.736,0.736
116,0.818,0.818,0.818,0.818
117,0.672,0.672,0.672,0.672
118,-9.999,-9.999,-9.999,-9.999
119,-9.999,-9.999,-9.999,-9.999
120,0.672,0.672,0.672,0.672
121,-9.999,-9.999,-9.999,-9.999
122,0.678,0.678,0.678,0.678
123,0.67,0.67,0.67,0.67
124,0.672,0.672,0.672,0.672
125,0.684,0.684,0.684,0.684
126,0.666,0.666,0.666,0.666
127,0.69,0.69,0.69,0.69
