Position,AMX@F7,SSE@F7,AVX2@F7,AVX3@F7
0,0.925,0.925,0.925,0.925
1,0.969,0.969,0.969,0.969
2,0.929,0.929,0.929,0.929
3,0.948,0.948,0.948,0.948
4,0.953,0.953,0.953,0.953
5,0.929,0.929,0.929,0.929
6,0.943,0.943,0.943,0.943
7,0.956,0.956,0.956,0.956
8,0.976,0.976,0.976,0.976
9,0.995,0.995,0.995,0.995
10,0.971,0.971,0.971,0.971
11,-9.999,-9.999,-9.999,-9.999
12,0.986,0.986,0.986,0.986
13,0.983,0.983,0.983,0.983
14,0.985,0.985,0.985,0.985
15,0.963,0.963,0.963,0.963
16,0.967,0.967,0.967,0.967
17,0.946,0.946,0.946,0.946
18,0.96,0.96,0.96,0.96
19,0.956,0.956,0.956,0.956
20,0.957,0.957,0.957,0.957
21,0.958,0.958,0.958,0.958
22,0.957,0.957,0.957,0.957
23,0.971,0.971,0.971,0.971
24,0.94,0.94,0.94,0.94
25,0.943,0.943,0.943,0.943
26,0.924,0.924,0.924,0.924
27,-9.999,-9.999,-9.999,-9.999
28,0.933,0.933,0.933,0.933
29,0.939,0.939,0.939,0.939
30,0.926,0.926,0.926,0.926
31,-9.999,-9.999,-9.999,-9.999
32,0.943,0.943,0.943,0.943
33,0.94,0.94,0.94,0.94
34,0.941,0.941,0.941,0.941
35,-9.999,-9.999,-9.999,-9.999
36,0.938,0.938,0.938,0.938
37,0.933,0.933,0.933,0.933
38,0.963,0.953,0.963,0.963
39,0.936,0.936,0.936,0.936
40,0.999,0.999,0.999,0.999
41,1.005,1.005,1.005,1.005
42,1.013,1.013,1.013,1.013
43,1.011,1.011,1.011,1.011
44,1.013,1.013,1.013,1.013
45,1.028,1.028,1.028,1.028
46,1.013,1.013,1.013,1.013
47,0.997,0.997,0.997,0.997
48,0.918,0.918,0.918,0.918
49,-9.999,-9.999,-9.999,-9.999
50,0.953,0.953,0.953,0.953
51,-9.999,-9.999,-9.999,-9.999
52,0.96,0.96,0.96,0.96
53,0.946,0.946,0.946,0.946
54,-9.999,-9.999,-9.999,-9.999
55,0.935,0.935,0.935,0.935
56,0.955,0.955,0.955,0.955
57,0.947,0.937,0.947,0.947
58,0.967,0.957,0.967,0.967
59,-9.999,-9.999,-9.999,-9.999
60,-9.999,-9.999,-9.999,-9.999
61,0.956,0.956,0.956,0.956
62,0.957,0.957,0.957,0.957
63,0.949,0.949,0.949,0.949
64,-9.999,-9.999,-9.999,-9.999
65,0.97,0.97,0.97,0.97
66,-9.999,-9.999,-9.999,-9.999
67,0.956,0.956,0.956,0.956
68,0.982,0.982,0.982,0.982
69,0.979,0.979,0.979,0.979
70,0.958,0.958,0.958,0.958
71,0.966,0.966,0.966,0.966
72,0.961,0.961,0.961,0.961
73,0.955,0.955,0.955,0.955
74,0.961,0.961,0.961,0.961
75,0.978,0.978,0.978,0.978
76,0.934,0.934,0.934,0.934
77,0.946,0.946,0.946,0.946
78,0.945,0.945,0.945,0.945
79,0.961,0.961,0.961,0.961
80,0.986,0.986,0.986,0.986
81,0.998,0.998,0.998,0.998
82,0.987,0.987,0.987,0.987
83,0.985,0.985,0.985,0.985
84,0.995,0.995,0.995,0.995
85,0.969,0.969,0.969,0.969
86,0.981,0.981,0.981,0.981
87,0.977,0.977,0.977,0.977
88,0.955,0.955,0.955,0.955
89,0.945,0.945,0.945,0.945
90,0.929,0.929,0.929,0.929
91,0.938,0.938,0.938,0.938
92,0.933,0.933,0.933,0.933
93,0.923,0.923,0.923,0.923
94,0.926,0.926,0.926,0.926
95,0.95,0.94,0.94,0.95
96,0.985,0.985,0.985,0.985
97,0.982,0.982,0.982,0.982
98,0.981,0.981,0.981,0.981
99,1.005,1.005,1.005,1.005
100,0.984,0.984,0.984,0.984
101,1.014,1.014,1.014,1.014
102,1.004,1.004,1.004,1.004
103,1.008,1.008,1.008,1.008
104,1.009,1.009,1.009,1.009
105,0.997,0.997,0.997,0.997
106,0.982,0.982,0.982,0.982
107,0.999,0.999,0.999,0.999
108,0.998,0.998,0.998,0.998
109,-9.999,-9.999,-9.999,-9.999
110,1.009,1.009,1.009,1.009
111,1.015,1.015,1.015,1.015
112,0.946,0.946,0.946,0.946
113,-9.999,-9.999,-9.999,-9.999
114,0.946,0.946,0.946,0.946
115,0.928,0.928,0.928,0.928
116,0.925,0.925,0.925,0.925
117,0.95,0.95,0.95,0.95
118,-9.999,-9.999,-9.999,-9.999
119,-9.999,-9.999,-9.999,-9.999
120,0.93,0.93,0.93,0.93
121,-9.999,-9.999,-9.999,-9.999
122,0.95,0.95,0.95,0.95
123,0.93,0.93,0.93,0.93
124,0.953,0.953,0.953,0.953
125,0.919,0.919,0.919,0.919
126,0.922,0.922,0.922,0.922
127,0.938,0.938,0.938,0.938
