Position,AMX@F6,SSE@F6,AVX2@F6,AVX3@F6
0,N/A,0.827,0.827,N/A
1,N/A,0.841,0.841,N/A
2,N/A,0.841,0.841,N/A
3,N/A,0.845,0.845,N/A
4,N/A,0.851,0.851,N/A
5,N/A,0.837,0.837,N/A
6,N/A,0.869,0.904,N/A
7,N/A,0.85,0.85,N/A
8,N/A,0.87,0.87,N/A
9,N/A,0.869,0.869,N/A
10,N/A,0.868,0.868,N/A
11,N/A,-9.999,-9.999,N/A
12,N/A,0.865,0.865,N/A
13,N/A,0.909,0.909,N/A
14,N/A,0.92,0.92,N/A
15,N/A,0.874,0.874,N/A
16,N/A,0.858,0.858,N/A
17,N/A,0.845,0.845,N/A
18,N/A,0.88,0.88,N/A
19,N/A,0.845,0.845,N/A
20,N/A,0.906,0.906,N/A
21,N/A,0.855,0.855,N/A
22,N/A,0.836,0.836,N/A
23,N/A,0.85,0.85,N/A
24,N/A,0.83,0.83,N/A
25,N/A,0.843,0.843,N/A
26,N/A,0.845,0.845,N/A
27,N/A,-9.999,-9.999,N/A
28,N/A,0.823,0.823,N/A
29,N/A,0.827,0.827,N/A
30,N/A,0.83,0.83,N/A
31,N/A,-9.999,-9.999,N/A
32,N/A,0.853,0.853,N/A
33,N/A,0.85,0.85,N/A
34,N/A,0.836,0.841,N/A
35,N/A,-9.999,-9.999,N/A
36,N/A,0.835,0.835,N/A
37,N/A,0.884,0.884,N/A
38,N/A,0.852,0.857,N/A
39,N/A,0.835,0.835,N/A
40,N/A,0.898,0.898,N/A
41,N/A,0.887,0.887,N/A
42,N/A,0.894,0.894,N/A
43,N/A,0.898,0.898,N/A
44,N/A,0.89,0.89,N/A
45,N/A,0.9,0.9,N/A
46,N/A,0.899,0.899,N/A
47,N/A,0.925,0.925,N/A
48,N/A,0.84,0.84,N/A
49,N/A,-9.999,-9.999,N/A
50,N/A,0.851,0.851,N/A
51,N/A,-9.999,-9.999,N/A
52,N/A,0.88,0.885,N/A
53,N/A,0.87,0.87,N/A
54,N/A,-9.999,-9.999,N/A
55,N/A,0.834,0.834,N/A
56,N/A,0.858,0.858,N/A
57,N/A,0.877,0.882,N/A
58,N/A,0.877,0.882,N/A
59,N/A,-9.999,-9.999,N/A
60,N/A,-9.999,-9.999,N/A
61,N/A,0.84,0.84,N/A
62,N/A,0.856,0.856,N/A
63,N/A,0.841,0.841,N/A
64,N/A,-9.999,-9.999,N/A
65,N/A,0.856,0.856,N/A
66,N/A,-9.999,-9.999,N/A
67,N/A,0.84,0.84,N/A
68,N/A,0.871,0.871,N/A
69,N/A,0.87,0.87,N/A
70,N/A,0.855,0.855,N/A
71,N/A,0.865,0.865,N/A
72,N/A,0.833,0.833,N/A
73,N/A,0.851,0.856,N/A
74,N/A,0.868,0.868,N/A
75,N/A,0.86,0.86,N/A
76,N/A,0.854,0.854,N/A
77,N/A,0.839,0.839,N/A
78,N/A,0.848,0.848,N/A
79,N/A,0.841,0.841,N/A
80,N/A,0.869,0.869,N/A
81,N/A,0.875,0.875,N/A
82,N/A,0.871,0.871,N/A
83,N/A,0.88,0.88,N/A
84,N/A,0.885,0.885,N/A
85,N/A,0.959,0.959,N/A
86,N/A,0.885,0.885,N/A
87,N/A,0.867,0.867,N/A
88,N/A,0.841,0.841,N/A
89,N/A,0.838,0.838,N/A
90,N/A,0.821,0.821,N/A
91,N/A,0.88,0.88,N/A
92,N/A,0.833,0.833,N/A
93,N/A,0.823,0.823,N/A
94,N/A,0.85,0.85,N/A
95,N/A,0.84,0.84,N/A
96,N/A,0.889,0.889,N/A
97,N/A,0.891,0.891,N/A
98,N/A,0.868,0.868,N/A
99,N/A,0.908,0.908,N/A
100,N/A,0.954,0.949,N/A
101,N/A,0.88,0.88,N/A
102,N/A,0.88,0.88,N/A
103,N/A,0.9,0.9,N/A
104,N/A,0.878,0.878,N/A
105,N/A,0.876,0.876,N/A
106,N/A,0.884,0.884,N/A
107,N/A,0.915,0.92,N/A
108,N/A,0.88,0.88,N/A
109,N/A,-9.999,-9.999,N/A
110,N/A,0.88,0.88,N/A
111,N/A,0.889,0.889,N/A
112,N/A,0.875,0.875,N/A
113,N/A,-9.999,-9.999,N/A
114,N/A,0.83,0.83,N/A
115,N/A,0.865,0.865,N/A
116,N/A,0.919,0.919,N/A
117,N/A,0.835,0.835,N/A
118,N/A,-9.999,-9.999,N/A
119,N/A,-9.999,-9.999,N/A
120,N/A,0.81,0.81,N/A
121,N/A,-9.999,-9.999,N/A
122,N/A,0.84,0.84,N/A
123,N/A,0.825,0.85,N/A
124,N/A,0.841,0.841,N/A
125,N/A,0.822,0.822,N/A
126,N/A,0.82,0.82,N/A
127,N/A,0.825,0.825,N/A
