Position,AMX@F1,SSE@F1,AVX2@F1,AVX3@F1
0,0.52,0.52,0.52,0.52
1,0.52,0.52,0.52,0.52
2,0.53,0.53,0.53,0.53
3,0.53,0.53,0.53,0.53
4,0.55,0.55,0.55,0.55
5,0.55,0.55,0.55,0.55
6,0.56,0.54,0.54,0.56
7,0.56,0.54,0.54,0.56
8,0.54,0.54,0.54,0.54
9,0.54,0.54,0.54,0.54
10,0.55,0.55,0.55,0.55
11,0.53,0.53,0.53,0.53
12,0.56,0.56,0.56,0.56
13,0.53,0.53,0.53,0.53
14,0.54,0.54,0.54,0.54
15,0.56,0.56,0.56,0.56
16,0.54,0.54,0.54,0.54
17,0.54,0.54,0.54,0.54
18,0.53,0.53,0.53,0.53
19,0.53,0.53,0.53,0.53
20,0.58,0.58,0.58,0.58
21,0.53,0.53,0.53,0.53
22,0.53,0.53,0.53,0.53
23,0.51,0.51,0.51,0.51
24,0.52,0.52,0.52,0.52
25,0.51,0.51,0.51,0.51
26,0.53,0.53,0.53,0.53
27,-9.999,-9.999,-9.999,-9.999
28,0.56,0.56,0.56,0.56
29,0.55,0.55,0.55,0.55
30,0.53,0.53,0.53,0.53
31,0.55,0.55,0.55,0.55
32,0.53,0.53,0.53,0.53
33,0.53,0.53,0.53,0.53
34,0.54,0.54,0.54,0.54
35,0.53,0.53,0.53,0.53
36,0.54,0.54,0.54,0.54
37,0.5,0.5,0.5,0.5
38,0.57,0.57,0.57,0.57
39,0.55,0.55,0.55,0.55
40,0.57,0.57,0.57,0.57
41,0.56,0.56,0.56,0.56
42,0.58,0.58,0.58,0.58
43,0.57,0.57,0.57,0.57
44,0.59,0.59,0.59,0.59
45,0.55,0.55,0.55,0.55
46,0.57,0.57,0.57,0.57
47,0.54,0.54,0.54,0.54
48,0.55,0.55,0.55,0.55
49,0.51,0.51,0.51,0.51
50,0.54,0.54,0.54,0.54
51,-9.999,-9.999,-9.999,-9.999
52,0.53,0.53,0.53,0.53
53,0.55,0.55,0.55,0.55
54,0.56,0.55,0.55,0.56
55,0.58,0.57,0.57,0.58
56,0.55,0.55,0.55,0.55
57,0.55,0.55,0.55,0.55
58,0.6,0.6,0.6,0.6
59,0.59,0.59,0.59,0.59
60,0.61,0.61,0.61,0.61
61,0.6,0.6,0.6,0.6
62,0.71,0.71,0.71,0.71
63,0.6,0.6,0.6,0.6
64,-9.999,-9.999,-9.999,-9.999
65,0.54,0.54,0.54,0.54
66,0.55,0.55,0.55,0.55
67,0.55,0.55,0.55,0.55
68,0.56,0.56,0.56,0.56
69,0.57,0.57,0.57,0.57
70,0.54,0.54,0.54,0.54
71,0.55,0.55,0.55,0.55
72,0.51,0.51,0.51,0.51
73,0.54,0.54,0.54,0.54
74,0.57,0.57,0.57,0.57
75,0.54,0.54,0.54,0.54
76,0.59,0.59,0.59,0.59
77,0.52,0.52,0.52,0.52
78,0.58,0.58,0.58,0.58
79,0.53,0.53,0.53,0.53
80,0.54,0.54,0.54,0.54
81,0.55,0.55,0.55,0.55
82,0.57,0.57,0.57,0.57
83,0.6,0.6,0.6,0.6
84,0.54,0.54,0.54,0.54
85,0.55,0.55,0.55,0.55
86,0.58,0.58,0.58,0.58
87,0.54,0.54,0.54,0.54
88,0.53,0.53,0.53,0.53
89,0.53,0.53,0.53,0.53
90,0.54,0.54,0.54,0.54
91,0.52,0.52,0.52,0.52
92,0.53,0.53,0.53,0.53
93,0.54,0.54,0.54,0.54
94,0.55,0.55,0.55,0.55
95,0.56,0.55,0.56,0.56
96,0.55,0.55,0.55,0.55
97,0.59,0.59,0.59,0.59
98,0.57,0.57,0.57,0.57
99,0.55,0.55,0.55,0.55
100,0.57,0.57,0.57,0.57
101,0.56,0.56,0.56,0.56
102,0.55,0.55,0.55,0.55
103,0.56,0.56,0.56,0.56
104,0.58,0.58,0.58,0.58
105,0.57,0.57,0.57,0.57
106,0.57,0.57,0.57,0.57
107,0.56,0.56,0.56,0.56
108,0.58,0.58,0.58,0.58
109,0.56,0.56,0.56,0.56
110,0.54,0.54,0.54,0.54
111,0.55,0.55,0.55,0.55
112,0.52,0.52,0.52,0.52
113,0.55,0.55,0.55,0.55
114,0.57,0.57,0.57,0.57
115,0.58,0.58,0.58,0.58
116,0.57,0.57,0.57,0.57
117,0.52,0.52,0.52,0.52
118,0.6,0.6,0.6,0.6
119,0.63,0.63,0.63,0.63
120,0.53,0.53,0.53,0.53
121,0.53,0.53,0.53,0.53
122,0.51,0.51,0.51,0.51
123,0.52,0.52,0.52,0.52
124,0.53,0.53,0.53,0.53
125,0.53,0.53,0.53,0.53
126,0.53,0.53,0.53,0.53
127,0.53,0.53,0.53,0.53
