Position,AMX@F5,SSE@F5,AVX2@F5,AVX3@F5
0,0.779,0.764,0.764,0.779
1,0.802,0.76,0.76,0.787
2,0.785,0.767,0.767,0.775
3,0.787,0.768,0.768,0.782
4,0.795,0.77,0.77,0.795
5,0.782,0.775,0.775,0.777
6,0.86,0.828,0.883,0.86
7,0.78,0.778,0.778,0.78
8,0.81,0.798,0.798,0.81
9,0.804,0.791,0.791,0.804
10,0.817,0.787,0.787,0.812
11,-9.999,-9.999,-9.999,-9.999
12,0.805,0.789,0.789,0.805
13,0.845,0.869,0.869,0.845
14,0.854,0.881,0.881,0.854
15,0.81,0.798,0.798,0.81
16,0.785,0.778,0.778,0.785
17,0.785,0.769,0.769,0.785
18,0.815,0.823,0.823,0.81
19,0.78,0.769,0.769,0.775
20,0.851,0.869,0.869,0.851
21,0.795,0.779,0.779,0.79
22,0.794,0.774,0.774,0.789
23,0.799,0.793,0.793,0.799
24,0.795,0.794,0.794,0.795
25,0.782,0.776,0.776,0.782
26,0.785,0.771,0.771,0.785
27,-9.999,-9.999,-9.999,-9.999
28,0.78,0.779,0.779,0.78
29,0.767,0.757,0.757,0.767
30,0.777,0.759,0.759,0.772
31,-9.999,-9.999,-9.999,-9.999
32,0.802,0.788,0.788,0.802
33,0.815,0.81,0.81,0.815
34,0.774,0.76,0.763,0.774
35,-9.999,-9.999,-9.999,-9.999
36,0.77,0.759,0.759,0.77
37,0.825,0.841,0.841,0.825
38,0.802,0.787,0.788,0.802
39,0.78,0.768,0.768,0.775
40,0.829,0.821,0.821,0.829
41,0.825,0.809,0.809,0.82
42,0.825,0.81,0.81,0.82
43,0.84,0.818,0.818,0.835
44,0.819,0.812,0.812,0.819
45,0.83,0.819,0.819,0.83
46,0.83,0.819,0.819,0.83
47,0.854,0.841,0.841,0.854
48,0.78,0.768,0.768,0.78
49,-9.999,-9.999,-9.999,-9.999
50,0.784,0.779,0.779,0.774
51,-9.999,-9.999,-9.999,-9.999
52,0.809,0.831,0.833,0.809
53,0.827,0.854,0.854,0.823
54,-9.999,-9.999,-9.999,-9.999
55,0.79,0.788,0.788,0.785
56,0.8,0.773,0.773,0.8
57,0.827,0.831,0.831,0.821
58,0.837,0.822,0.823,0.827
59,-9.999,-9.999,-9.999,-9.999
60,-9.999,-9.999,-9.999,-9.999
61,0.78,0.769,0.769,0.78
62,0.798,0.786,0.786,0.798
63,0.809,0.775,0.775,0.794
64,-9.999,-9.999,-9.999,-9.999
65,0.794,0.782,0.782,0.794
66,-9.999,-9.999,-9.999,-9.999
67,0.78,0.769,0.769,0.775
68,0.799,0.791,0.791,0.799
69,0.817,0.805,0.805,0.817
70,0.79,0.779,0.779,0.785
71,0.813,0.811,0.811,0.813
72,0.79,0.782,0.782,0.785
73,0.797,0.803,0.803,0.792
74,0.812,0.79,0.79,0.812
75,0.79,0.787,0.787,0.785
76,0.822,0.809,0.809,0.817
77,0.797,0.797,0.797,0.797
78,0.787,0.76,0.76,0.787
79,0.788,0.775,0.775,0.788
80,0.802,0.796,0.796,0.802
81,0.805,0.799,0.799,0.805
82,0.809,0.798,0.798,0.809
83,0.814,0.801,0.801,0.814
84,0.814,0.81,0.81,0.809
85,0.879,0.928,0.928,0.879
86,0.869,0.864,0.864,0.869
87,0.807,0.79,0.79,0.807
88,0.77,0.759,0.759,0.765
89,0.777,0.775,0.775,0.772
90,0.769,0.754,0.754,0.764
91,0.841,0.878,0.878,0.841
92,0.792,0.759,0.759,0.787
93,0.772,0.757,0.757,0.772
94,0.795,0.779,0.779,0.79
95,0.78,0.767,0.767,0.775
96,0.82,0.8,0.8,0.815
97,0.819,0.803,0.803,0.819
98,0.81,0.798,0.798,0.805
99,0.839,0.831,0.831,0.839
100,0.889,0.926,0.924,0.889
101,0.82,0.809,0.809,0.82
102,0.825,0.818,0.818,0.82
103,0.83,0.819,0.819,0.825
104,0.814,0.793,0.793,0.814
105,0.837,0.836,0.836,0.837
106,0.831,0.827,0.827,0.831
107,0.839,0.855,0.855,0.834
108,0.815,0.799,0.799,0.81
109,-9.999,-9.999,-9.999,-9.999
110,0.804,0.792,0.792,0.799
111,0.825,0.808,0.808,0.825
112,0.815,0.808,0.808,0.815
113,-9.999,-9.999,-9.999,-9.999
114,0.77,0.759,0.759,0.77
115,0.8,0.821,0.821,0.795
116,0.856,0.903,0.903,0.852
117,0.782,0.758,0.758,0.772
118,-9.999,-9.999,-9.999,-9.999
119,-9.999,-9.999,-9.999,-9.999
120,0.769,0.752,0.752,0.759
121,-9.999,-9.999,-9.999,-9.999
122,0.77,0.759,0.759,0.765
123,0.769,0.748,0.761,0.769
124,0.775,0.76,0.76,0.775
125,0.792,0.778,0.778,0.792
126,0.757,0.746,0.746,0.752
127,0.765,0.757,0.757,0.765
