Position,AMX@F2,SSE@F2,AVX2@F2,AVX3@F2
0,0.62,0.62,0.62,0.62
1,0.62,0.615,0.615,0.62
2,0.625,0.625,0.625,0.625
3,0.615,0.615,0.615,0.615
4,0.628,0.628,0.628,0.628
5,0.649,0.649,0.649,0.649
6,0.721,0.671,0.692,0.721
7,0.648,0.639,0.639,0.648
8,0.64,0.64,0.64,0.64
9,0.645,0.645,0.645,0.645
10,0.644,0.644,0.644,0.644
11,-9.999,-9.999,-9.999,-9.999
12,0.644,0.644,0.644,0.644
13,0.68,0.68,0.68,0.68
14,0.685,0.685,0.685,0.685
15,0.659,0.659,0.659,0.659
16,0.635,0.635,0.635,0.635
17,0.629,0.629,0.629,0.629
18,0.648,0.648,0.648,0.648
19,0.625,0.625,0.625,0.625
20,0.696,0.696,0.696,0.696
21,0.625,0.625,0.625,0.625
22,0.63,0.625,0.625,0.63
23,0.615,0.615,0.615,0.615
24,0.605,0.605,0.605,0.605
25,0.626,0.626,0.626,0.626
26,0.624,0.624,0.624,0.624
27,-9.999,-9.999,-9.999,-9.999
28,0.643,0.643,0.643,0.643
29,0.628,0.628,0.628,0.628
30,0.609,0.609,0.609,0.609
31,-9.999,-9.999,-9.999,-9.999
32,0.636,0.636,0.636,0.636
33,0.654,0.654,0.654,0.654
34,0.624,0.624,0.624,0.624
35,-9.999,-9.999,-9.999,-9.999
36,0.624,0.624,0.624,0.624
37,0.659,0.659,0.659,0.659
38,0.658,0.658,0.658,0.658
39,0.629,0.629,0.629,0.629
40,0.664,0.664,0.664,0.664
41,0.659,0.659,0.659,0.659
42,0.672,0.672,0.672,0.672
43,0.669,0.669,0.669,0.669
44,0.672,0.672,0.672,0.672
45,0.655,0.655,0.655,0.655
46,0.659,0.659,0.659,0.659
47,0.666,0.666,0.666,0.666
48,0.639,0.639,0.639,0.639
49,-9.999,-9.999,-9.999,-9.999
50,0.63,0.63,0.63,0.63
51,-9.999,-9.999,-9.999,-9.999
52,0.663,0.663,0.663,0.663
53,0.683,0.683,0.683,0.683
54,-9.999,-9.999,-9.999,-9.999
55,0.667,0.662,0.662,0.667
56,0.624,0.624,0.624,0.624
57,0.677,0.677,0.677,0.677
58,0.657,0.657,0.657,0.657
59,-9.999,-9.999,-9.999,-9.999
60,-9.999,-9.999,-9.999,-9.999
61,0.656,0.656,0.656,0.656
62,0.706,0.706,0.706,0.706
63,0.648,0.648,0.648,0.648
64,-9.999,-9.999,-9.999,-9.999
65,0.635,0.629,0.629,0.635
66,-9.999,-9.999,-9.999,-9.999
67,0.629,0.629,0.629,0.629
68,0.645,0.645,0.645,0.645
69,0.659,0.659,0.659,0.659
70,0.63,0.63,0.63,0.63
71,0.66,0.66,0.66,0.66
72,0.66,0.65,0.65,0.66
73,0.661,0.661,0.661,0.661
74,0.653,0.653,0.653,0.653
75,0.64,0.64,0.64,0.64
76,0.731,0.731,0.731,0.731
77,0.62,0.62,0.62,0.62
78,0.637,0.637,0.637,0.637
79,0.619,0.619,0.619,0.619
80,0.645,0.645,0.645,0.645
81,0.639,0.639,0.639,0.639
82,0.653,0.653,0.653,0.653
83,0.677,0.677,0.677,0.677
84,0.646,0.646,0.646,0.646
85,0.726,0.726,0.726,0.726
86,0.668,0.668,0.668,0.668
87,0.639,0.639,0.639,0.639
88,0.619,0.619,0.619,0.619
89,0.63,0.63,0.63,0.63
90,0.619,0.619,0.619,0.619
91,0.67,0.67,0.67,0.67
92,0.625,0.619,0.619,0.625
93,0.619,0.619,0.619,0.619
94,0.639,0.639,0.639,0.639
95,0.654,0.649,0.654,0.654
96,0.65,0.65,0.65,0.65
97,0.668,0.662,0.662,0.668
98,0.659,0.659,0.659,0.659
99,0.671,0.661,0.671,0.671
100,0.719,0.725,0.719,0.719
101,0.649,0.649,0.649,0.649
102,0.65,0.65,0.65,0.65
103,0.655,0.655,0.655,0.655
104,0.652,0.652,0.652,0.652
105,0.643,0.643,0.643,0.643
106,0.673,0.673,0.673,0.673
107,0.682,0.682,0.682,0.682
108,0.653,0.653,0.653,0.653
109,-9.999,-9.999,-9.999,-9.999
110,0.635,0.635,0.635,0.635
111,0.656,0.65,0.65,0.656
112,0.652,0.652,0.652,0.652
113,-9.999,-9.999,-9.999,-9.999
114,0.637,0.637,0.637,0.637
115,0.659,0.659,0.659,0.659
116,0.721,0.721,0.721,0.721
117,0.605,0.605,0.605,0.605
118,-9.999,-9.999,-9.999,-9.999
119,-9.999,-9.999,-9.999,-9.999
120,0.605,0.605,0.605,0.605
121,-9.999,-9.999,-9.999,-9.999
122,0.606,0.606,0.606,0.606
123,0.61,0.61,0.61,0.61
124,0.605,0.605,0.605,0.605
125,0.639,0.639,0.639,0.639
126,0.614,0.614,0.614,0.614
127,0.62,0.62,0.62,0.62
