Sheet,Cell,Formula,Evaluated Value
FirstErr,P75,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",pc5_5u2
FirstErr,Q75,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",pcie
FirstErr,R75,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",0
FirstErr,S75,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",7
FirstErr,T75,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",UPI:pcie7
FirstErr,N76,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",scf_cha
FirstErr,O76,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CHA
FirstErr,P76,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpuscf
FirstErr,Q76,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",SCF
FirstErr,R76,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S76,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",116
FirstErr,T76,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CHA116
FirstErr,N77,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O77,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P77,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q77,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R77,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S77,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",118
FirstErr,T77,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE118
FirstErr,N78,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O78,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P78,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q78,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R78,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S78,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",110
FirstErr,T78,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE110
FirstErr,N79,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O79,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P79,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q79,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R79,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S79,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",20
FirstErr,T79,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE20
FirstErr,N80,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O80,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P80,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q80,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R80,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S80,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",44
FirstErr,T80,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE44
FirstErr,N81,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O81,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P81,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q81,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R81,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S81,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",97
FirstErr,T81,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE97
FirstErr,N82,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O82,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P82,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q82,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R82,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S82,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",117
FirstErr,T82,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE117
FirstErr,N83,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O83,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P83,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q83,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R83,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S83,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",13
FirstErr,T83,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE13
FirstErr,N84,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O84,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P84,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q84,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R84,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S84,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",13
FirstErr,T84,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE13
FirstErr,N85,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",scf_cha
FirstErr,O85,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CHA
FirstErr,P85,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpuscf
FirstErr,Q85,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",SCF
FirstErr,R85,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S85,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",134
FirstErr,T85,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CHA134
FirstErr,N86,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O86,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P86,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q86,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R86,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S86,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",13
FirstErr,T86,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE13
FirstErr,N87,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O87,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P87,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q87,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R87,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S87,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",13
FirstErr,T87,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE13
FirstErr,N88,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O88,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P88,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q88,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R88,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S88,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",13
FirstErr,T88,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE13
FirstErr,N89,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O89,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P89,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q89,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R89,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S89,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",13
FirstErr,T89,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE13
FirstErr,N90,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",upiagent:lnmacmisc
FirstErr,O90,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",UPI
FirstErr,P90,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",pc5_5u2
FirstErr,Q90,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",pcie
FirstErr,R90,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",0
FirstErr,S90,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",6
FirstErr,T90,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",UPI:pcie6
FirstErr,N91,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",scf_cha
FirstErr,O91,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CHA
FirstErr,P91,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpuscf
FirstErr,Q91,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",SCF
FirstErr,R91,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S91,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",43
FirstErr,T91,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CHA43
FirstErr,N92,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
FirstErr,O92,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CORE
FirstErr,P92,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpucore
FirstErr,Q92,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",CORE
FirstErr,R92,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S92,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",17
FirstErr,T92,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CORE17
FirstErr,N93,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",scf_cha
FirstErr,O93,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CHA
FirstErr,P93,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpuscf
FirstErr,Q93,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",SCF
FirstErr,R93,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S93,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",69
FirstErr,T93,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CHA69
FirstErr,N94,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",scf_cha
FirstErr,O94,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CHA
FirstErr,P94,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpuscf
FirstErr,Q94,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",SCF
FirstErr,R94,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S94,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",9
FirstErr,T94,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CHA9
FirstErr,N95,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",scf_cha
FirstErr,O95,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - IP]],Computes!$S$2:$S$22,Computes!$T$2:$T$22)",CHA
FirstErr,P95,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,3)",cpuscf
FirstErr,Q95,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$2:$AB$22,Computes!$AC$2:$AC$22)",SCF
FirstErr,R95,"=_xlfn.XLOOKUP(ubox[[#This Row],[FirstError - Device]],Computes!$AB$1:$AB$22,Computes!$AD$1:$AD$22)",4
FirstErr,S95,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,4)-(ubox[[#This Row],[offset]]*(ubox[[#This Row],[FirstError - DIEID]]-9))",9
FirstErr,T95,"=IF(OR(ubox[[#This Row],[FirstError - Device (Name)]]=""CORE"",ubox[[#This Row],[FirstError - Device (Name)]]=""SCF""),ubox[[#This Row],[FirstError - IP (name)]],ubox[[#This Row],[FirstError - IP (name)]]&"":""&ubox[[#This Row],[FirstError - Device (Name)]])&ubox[[#This Row],[FirstError - Physical Loc]]",CHA9
FirstErr,N96,"=INDEX(_xlfn.TEXTSPLIT(ubox[[#This Row],[FirstError - Location]],"".""),1,1)",core_coregp
