Deployment Report
Timestamp,20260216_151704
Product,CWF
Source Type,BASELINE
Deployment Type,DebugFramework
Target,C:\pythonsv\clearwaterforest\users\gaespino\DebugFramework
Total Files Scanned,117
Product Filtered,102
Deployed Successfully,15
Errors,0

DEPLOYED FILES
ExecutionHandler\utils\ThreadsHandler.py,Not selected,identical,No,-
UI\ProcessPanel.py,Not selected,identical,No,-
PPV\utils\ExcelReportBuilder.py,Not selected,identical,No,-
PPV\utils\folder_list.py,Not selected,new,No,-
ExecutionHandler\utils\ThreadsManager.py,Not selected,new,No,-
PPV\Decoder\CWF\mse_params.json,Not selected,identical,No,-
ExecutionHandler\utils\DebugLogger.py,Not selected,identical,No,-
TTL\TTL_Linux\Commands.ttl,Not selected,identical,No,-
PPV\Decoder\CWF\ubox_params.json,Not selected,identical,No,-
UI\GNRControlPanelConfig.json,Not selected,new,No,-
PPV\gui\PPVDataChecks.py,Not selected,identical,No,-
PPV\Decoder\CWF\b2cxl_params.json,Not selected,identical,No,-
ExecutionHandler\utils\PanelManager.py,Not selected,new,No,-
PPV\Decoder\TransformJson.py,Not selected,identical,No,-
Storage_Handler\DBUserInterface.py,Not selected,identical,No,-
PPV\Decoder\CWF\gnrtileconfig.csv,Not selected,identical,No,-
UI\CWFControlPanelConfig.json,Not selected,new,No,-
TTL\TTL_Linux\config.ini,Not selected,identical,No,-
UI\ExperimentsForm.py,Not selected,new,No,-
TTL\TTL_DragonMesh\MeshContent.ttl,Not selected,identical,No,-
TTL\TTL_DragonMesh\config.ini,Not selected,identical,No,-
ExecutionHandler\utils\ReportGenerator.py,Not selected,identical,No,-
UI\StatusHandler.py,Not selected,identical,No,-
ExecutionHandler\Exceptions.py,Not selected,identical,No,-
TTL\TTL_CustomEFI\EFIContent.ttl,Not selected,identical,No,-
PPV\parsers\PPVLoopsParser.py,Not selected,identical,No,-
ExecutionHandler\Configurations.py,Not selected,identical,No,-
PPV\utils\FrameworkFileFix.py,Not selected,identical,No,-
Automation_Flow\AutomationFlows.py,Not selected,identical,No,-
PPV\gui\PPVLoopChecks.py,Not selected,identical,No,-
Automation_Flow\AutomationTracker.py,Not selected,identical,No,-
Storage_Handler\DBClient.py,Not selected,identical,No,-
TTL\TTL_CustomEFI\Commands.ttl,Not selected,identical,No,-
PPV\configs\GNRControlPanelConfig.json,Not selected,identical,No,-
PPV\Decoder\dragon_bucketing.py,Not selected,identical,No,-
PPV\configs\README.md,Not selected,identical,No,-
PPV\utils\DeveloperEnvironment.py,Not selected,new,No,-
PPV\Decoder\faildetection.py,Not selected,identical,No,-
UI\AutomationPanel.py,Not selected,identical,No,-
PPV\gui\MCADecoder.py,Not selected,identical,No,-
Automation_Flow\example.ini,Not selected,new,No,-
Shmoos\RVPShmooConfig.json,Not selected,identical,No,-
PPV\Decoder\CWF\core_params_bk.json,Not selected,identical,No,-
PPV\Decoder\CWF\cha_params.xlsx,Not selected,identical,No,-
PPV\utils\aqua_report.py,Not selected,new,No,-
PPV\Decoder\CWF\b2hot_params.json,Not selected,identical,No,-
ExecutionHandler\utils\FrameworkUtils.py,Not selected,identical,No,-
UI\Serial.py,Not selected,identical,No,-
ExecutionHandler\utils\FrameworkManager.py,Not selected,new,No,-
Automation_Flow\AutomationDesigner.py,Not selected,new,No,-
EFI\patternfinder.py,Not selected,identical,No,-
TestFramework.py,Not selected,new,No,-
PPV\Decoder\CWF\b2cmi_params.json,Not selected,identical,No,-
Automation_Flow\Flows.json,Not selected,new,No,-
Automation_Flow\TestFlow1.py,Not selected,new,No,-
TTL\TTL_Boot\Commands.ttl,Not selected,identical,No,-
PPV\run.py,Not selected,new,No,-
